"Date of News/Twitter","Tweet content/news headline","source of news / person name who has tweeted","label","score",,,,,
"2022-03-05 09:52:32","RT @AUThackeray: This afternoon, I received a representation from H2e Power Systems along with the Norwegian Consul General. We also discus…","WorliShivsena","NEGATIVE",0.893203973770142,,,,,
"2022-03-05 09:51:17","RT @son__of_adam: Kolaborasi yang sangat strategis untuk masa depan energi yang ramah lingkungan dan mengurari emisi gas. Good job!

Pertam…","Luvaoki","POSITIVE",0.510398089885712,,,,,
"2022-03-05 09:51:09","Consumer Electricity Bills Should Not Be Used to Finance Hydrogen Production, Green Groups Emphasize https://t.co/1S9ob8NHgy https://t.co/pisFybUFmc","EcoTopicalNews","NEGATIVE",0.998009741306305,,,,,
"2022-03-05 09:49:34","Made of carbon fiber, the torch is light, resistant to high temperatures and primarily fueled by hydrogen, making it free of emissions and demonstrating the organizers' aim of staging a ""green and high-tech"" #games.#OpeningCeremony @BBCNews @AP @ABC @NBCNews @EU_Commission","aoOeqqmU72jzISV","POSITIVE",0.993516206741333,,,,,
"2022-03-05 09:49:31","RT @son__of_adam: Kolaborasi yang sangat strategis untuk masa depan energi yang ramah lingkungan dan mengurari emisi gas. Good job!

Pertam…","Lianaaluv","POSITIVE",0.510398089885712,,,,,
"2022-03-05 09:49:03","RT @fuelcellsworks: Locally Grown #GreenHydrogen Project Will Power a #ZeroEmissions Future - A $2 million #Canberra-based project that pro…","makisig_itrade","POSITIVE",0.982259929180145,,,,,
"2022-03-05 09:41:35","RT @JMGlachant: From @BloombergNEF 

‘’Ukraine war makes Green Hydrogen competitive’’","ProENRv","NEGATIVE",0.934313654899597,,,,,
"2022-03-05 09:39:12","Of renewable energy, hydrogen and green mobility | #energy  https://t.co/CmEwR1QCGD","HelixPerfect","NEGATIVE",0.812853455543518,,,,,
"2022-03-05 09:38:46","@son__of_adam Semoga kolaborasi ini sukses, dan pengembangan Green Hydrogen, Ammonia berjalan lancar","yunacityx","NEGATIVE",0.631172239780426,,,,,
"2022-03-05 09:37:22","RT @son__of_adam: Kolaborasi yang sangat strategis untuk masa depan energi yang ramah lingkungan dan mengurari emisi gas. Good job!

Pertam…","yunacityx","POSITIVE",0.510398089885712,,,,,
"2022-03-05 09:36:21","@SweenEnergy 👋🏻 green hydrogen is the oil of the 21st century, fully sistainable of course. Happy to chat with your friend!","TChrometzka","POSITIVE",0.99812787771225,,,,,
"2022-03-05 09:32:07","RT @Seputar_Energi_: Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia

https://t.co/xXK7cwmjIH

#EnergizingY…","AlwaaCorollaa","NEGATIVE",0.992592871189117,,,,,
"2022-03-05 09:31:00","RT @InvestIndiaSWE: #BlogAlert

Here's how #NewIndia is progressing towards its ambitious green commitments and emerging as the global hub…","JFSebastian146","POSITIVE",0.9898721575737,,,,,
"2022-03-05 09:30:00","#BlogAlert

Here's how #NewIndia is progressing towards its ambitious green commitments and emerging as the global hub of #GreenHydrogen generation!

Read NOW!

#InvestIndia #ClimateChange @IndiainSweden @IUsweden @SwedeninIndia @BusinessSweIND @SIBCtweets https://t.co/be5qZYjOYp","InvestIndiaSWE","POSITIVE",0.990880489349365,,,,,
"2022-03-05 09:29:45","@trained4society @iamTheAlpha__ @j9900j Green hydrogen can be produced by anyone by electrolysis. Not sure it can be controlled like fossil fuels","matkanianthra","NEGATIVE",0.993205070495606,,,,,
"2022-03-05 09:27:06","RT @cleantechnica: Consumer Electricity Bills Should Not Be Used to Finance Hydrogen Production, Green Groups Emphasize https://t.co/m8Zyqe…","kirillklip","NEGATIVE",0.998369872570038,,,,,
"2022-03-05 09:26:56","RT @son__of_adam: Kolaborasi yang sangat strategis untuk masa depan energi yang ramah lingkungan dan mengurari emisi gas. Good job!

Pertam…","xyraira","POSITIVE",0.510398089885712,,,,,
"2022-03-05 09:25:26","@ConallOM @TheMaxolGroup @Maxol @TeamGBS1 @defactoshave Production from fossil fuel is why the oil industry is pushing h2 power -&gt; they want to maintain their profit.

Green hydrogen is of course possible using electrolysis. The problem there is that we need a lot of electricity to produce it. So we still need green elec sources 2/n","PaulDalyROI","NEGATIVE",0.993153929710388,,,,,
"2022-03-05 09:25:00","RT @son__of_adam: Kolaborasi yang sangat strategis untuk masa depan energi yang ramah lingkungan dan mengurari emisi gas. Good job!

Pertam…","adreena_2","POSITIVE",0.510398089885712,,,,,
"2022-03-05 09:22:54","@ConallOM @TheMaxolGroup @Maxol @TeamGBS1 @defactoshave He's talking rubbish. Transport and storage of hydrogen is not easy. None of that infrastructure exists at scale in Ireland.

We already have electricity to every part of the country.

Not only that, most hydrogen is produced from fossil fuel today. It's absolutely not green! 1/n","PaulDalyROI","NEGATIVE",0.99966311454773,,,,,
"2022-03-05 09:21:40","Kolaborasi yang sangat strategis untuk masa depan energi yang ramah lingkungan dan mengurari emisi gas. Good job!

Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia

https://t.co/LeYRr2K0wg

#EnergizingYou
#EnergizingYourFuture https://t.co/KimhjMopB1","bintangggterang","NEGATIVE",0.984518885612488,,,,,
"2022-03-05 09:20:51","Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia

https://t.co/AMZfLUpIaL

#EnergizingYou
#EnergizingYourFuture https://t.co/GlXxPJp44a","cumauname_","NEGATIVE",0.991970896720886,,,,,
"2022-03-05 09:19:34","Fyi, Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia
Good job 👍 semoga lancar ya 
https://t.co/u5C1STCm9e","cumauname_","NEGATIVE",0.982154965400696,,,,,
"2022-03-05 09:18:11","Semangat trus untuk Pertamina, Pupuk Indonesia dan Mitsubishi yang tengah Kembangkan Green Hydrogen dan Ammonia👍 semoga berjalan sukses !!
https://t.co/cxSgjmDp9r","cumauname_","NEGATIVE",0.976486623287201,,,,,
"2022-03-05 09:17:11","Keren ya nih Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia
Semoga semua berjalan sesuai harapan 
https://t.co/lJJDpVwnw7","stardustch_","NEGATIVE",0.992195248603821,,,,,
"2022-03-05 09:16:05","Mantul bgt deh!! Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia. . 
Keren nih bersinergi hebat 👍🏻👍🏻

https://t.co/u5C1STCm9e","cumauname_","NEGATIVE",0.994050323963165,,,,,
"2022-03-05 09:15:44","RT @son__of_adam: Kolaborasi yang sangat strategis untuk masa depan energi yang ramah lingkungan dan mengurari emisi gas. Good job!

Pertam…","norazliza39","POSITIVE",0.510398089885712,,,,,
"2022-03-05 09:15:32","Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia semoga lancar semuanyaaa support terus yuk 👍👍

https://t.co/wzbpPyDrQA","stardustch_","NEGATIVE",0.992840051651001,,,,,
"2022-03-05 09:15:00","RT @son__of_adam: Kolaborasi yang sangat strategis untuk masa depan energi yang ramah lingkungan dan mengurari emisi gas. Good job!

Pertam…","salmahhsn","POSITIVE",0.510398089885712,,,,,
"2022-03-05 09:14:30","RT @son__of_adam: Kolaborasi yang sangat strategis untuk masa depan energi yang ramah lingkungan dan mengurari emisi gas. Good job!

Pertam…","Juliohoki","POSITIVE",0.510398089885712,,,,,
"2022-03-05 09:14:27","Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia
Wah keren yak! Semoga berjalan lancar 👍
https://t.co/AMZfLUpIaL","cumauname_","NEGATIVE",0.992902815341949,,,,,
"2022-03-05 09:13:56","RT @son__of_adam: Kolaborasi yang sangat strategis untuk masa depan energi yang ramah lingkungan dan mengurari emisi gas. Good job!

Pertam…","noranita300","POSITIVE",0.510398089885712,,,,,
"2022-03-05 09:12:55","RT @son__of_adam: Kolaborasi yang sangat strategis untuk masa depan energi yang ramah lingkungan dan mengurari emisi gas. Good job!

Pertam…","patimah201","POSITIVE",0.510398089885712,,,,,
"2022-03-05 09:12:26","RT @son__of_adam: Kolaborasi yang sangat strategis untuk masa depan energi yang ramah lingkungan dan mengurari emisi gas. Good job!

Pertam…","rakidin98","POSITIVE",0.510398089885712,,,,,
"2022-03-05 09:11:59","RT @son__of_adam: Kolaborasi yang sangat strategis untuk masa depan energi yang ramah lingkungan dan mengurari emisi gas. Good job!

Pertam…","mohdsharul88","POSITIVE",0.510398089885712,,,,,
"2022-03-05 09:11:05","RT @Seputar_Energi_: Pertamina, Pupuk Indonesia dan Mitsubishi Kembangkan Green Hydrogen dan Ammonia

https://t.co/xXK7cwmjIH

#EnergizingY…","rugayah38","NEGATIVE",0.992592871189117,,,,,
